EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
-67132.398438,123619.726562,54288.277344,2123.058105,275879.187500,19186.291016,85707.679688,-358534.593750,0.558105,0.698486,0.459229,0.000000,0.000000,0.000000,40.000000,1.000000,1.000000
-35182.453125,102965.195312,-203.311478,13726.921875,134100.015625,-22883.359375,114148.757812,-125533.304688,0.568848,0.701172,0.456055,0.000000,0.000000,0.000000,40.000000,2.000000,1.000000
-1011.014160,80166.593750,-629.603943,11638.553711,56324.878906,-22224.876953,80667.625000,-25279.109375,0.570068,0.701660,0.456787,0.000000,0.000000,0.000000,40.000000,3.000000,1.000000
-3641.993408,48322.773438,422.537384,9353.847656,27491.664062,-13665.946289,35270.695312,-2824.724121,0.572266,0.701172,0.456543,0.000000,0.000000,0.000000,40.000000,4.000000,1.000000
2745.330811,-15649.351562,3833.950195,6339.759766,5472.512207,4303.247559,7138.074707,677.168457,0.573975,0.703613,0.454590,0.549316,-0.610352,-0.518799,40.000000,5.000000,1.000000
3846.020264,-39544.082031,2889.633545,6210.834961,2594.948242,8044.303711,2326.727295,7436.872559,0.572998,0.702148,0.456787,3.112793,-2.593994,-1.708984,40.000000,6.000000,1.000000
3519.952881,-48110.878906,3818.840332,7337.273438,3843.159180,8473.904297,2870.768799,5912.304688,0.572021,0.702393,0.452881,1.739502,-0.610352,0.061035,40.000000,7.000000,1.000000
3110.379395,-4417.599121,3690.988525,6265.104980,6639.094238,3420.264160,1821.041382,3325.045654,0.571289,0.703857,0.455322,0.976562,0.061035,0.671387,40.000000,8.000000,1.000000
2735.943115,2957.135986,2855.122559,3313.690918,3556.520264,2610.594482,2319.932373,2657.443848,0.570801,0.703857,0.454590,0.854492,0.305176,0.946045,40.000000,9.000000,1.000000
2895.534424,3098.041260,3008.008545,3158.927490,2943.635498,2980.024170,2642.244629,2894.372314,0.569824,0.703125,0.452637,0.793457,0.396728,1.129150,40.000000,10.000000,1.000000
2903.402344,3038.854004,3014.088135,3054.410645,2936.929932,2968.580078,2738.446533,2839.029297,0.572510,0.703369,0.452637,0.732422,0.457764,1.190185,40.000000,11.000000,1.000000
2821.326660,2802.551270,2947.301270,2808.362793,2803.892334,2818.823242,2766.609619,2688.646729,0.571777,0.703125,0.451904,0.640869,0.305176,1.129150,40.000000,12.000000,1.000000
2853.423828,2762.049805,3108.591309,2852.529785,2928.525635,2840.102295,2942.920166,2878.279053,0.569824,0.702881,0.453125,0.671387,0.366211,1.098633,40.000000,13.000000,1.000000
3111.720703,3274.620117,3155.887695,3367.156250,3161.341553,3120.661377,3162.146240,3099.024902,0.570557,0.701416,0.452637,0.610352,0.427246,1.129150,40.000000,14.000000,1.000000
3296.524902,3435.105713,3429.472900,3381.640381,3353.030029,3334.701660,3442.884033,3359.288574,0.572266,0.701904,0.452393,0.579834,0.396728,1.098633,40.000000,15.000000,1.000000
3498.137695,3504.664307,3563.225830,3476.590576,3528.982910,3501.266846,3462.553711,3527.016113,0.571533,0.702637,0.456543,0.640869,0.427246,1.068115,40.000000,16.000000,1.000000
3545.970215,3563.404785,3578.603760,3563.762207,3565.639893,3562.510498,3538.102539,3567.517334,0.571289,0.701660,0.456299,0.610352,0.457764,1.098633,40.000000,17.000000,1.000000
3572.971191,3582.805908,3596.753418,3608.734131,3572.613525,3576.815674,3569.037354,3583.342529,0.572021,0.701660,0.454102,0.579834,0.396728,1.159668,40.000000,18.000000,1.000000
3580.123779,3590.226807,3607.392822,3618.211182,3578.335693,3581.554199,3586.471680,3593.624268,0.574219,0.703369,0.454102,0.579834,0.518799,1.159668,40.000000,19.000000,1.000000
3583.074219,3591.746582,3611.416260,3621.340332,3579.050781,3583.342529,3597.290039,3599.346191,0.573242,0.701904,0.453613,0.671387,0.457764,1.220703,40.000000,20.000000,1.000000
3586.561035,3593.355957,3612.578613,3620.893311,3580.392090,3584.415283,3603.816650,3602.475586,0.572754,0.702637,0.451172,0.671387,0.396728,1.159668,40.000000,21.000000,1.000000
3589.779785,3595.144043,3614.545410,3619.373535,3582.448486,3586.382324,3606.230713,3605.157715,0.573975,0.704590,0.452637,0.610352,0.427246,1.159668,40.000000,22.000000,1.000000
3592.908936,3596.753418,3615.350098,3618.479492,3583.968262,3589.153809,3606.230713,3607.124756,0.573975,0.702881,0.451904,0.732422,0.518799,1.129150,40.000000,23.000000,1.000000
3596.753418,3599.346191,3616.601807,3618.121826,3587.455078,3593.266602,3605.962402,3609.002197,0.570801,0.703125,0.452148,0.732422,0.457764,1.098633,40.000000,24.000000,1.000000
3600.687500,3601.849609,3617.585205,3618.211182,3590.673828,3596.753418,3606.945801,3610.522217,0.571289,0.704346,0.454346,0.610352,0.488281,1.068115,40.000000,25.000000,1.000000
3604.353027,3604.710693,3618.211182,3618.568848,3593.624268,3599.882812,3607.482422,3612.399658,0.569824,0.703125,0.452637,0.640869,0.518799,1.098633,40.000000,26.000000,1.000000
3606.677734,3607.214111,3620.178223,3619.552246,3595.859375,3603.369629,3608.912842,3614.098389,0.571045,0.701904,0.454102,0.671387,0.518799,1.129150,40.000000,27.000000,1.000000
3609.270508,3609.002197,3622.234375,3621.161621,3598.452148,3605.604736,3610.700928,3616.870117,0.571777,0.702393,0.454346,0.640869,0.457764,1.098633,40.000000,28.000000,1.000000
