EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
-60536.753906,428497.187500,-39718.785156,179885.234375,399378.218750,-50162.414062,371223.062500,-559342.875000,0.540527,0.713867,0.450928,0.000000,0.000000,0.000000,53.333336,1.000000,1.000000
-166893.515625,331166.500000,16059.103516,29451.642578,357063.687500,-31506.662109,216810.859375,-59602.269531,0.552490,0.716309,0.451416,0.000000,0.000000,0.000000,53.333336,2.000000,1.000000
-73489.945312,143046.515625,3882.587646,12120.725586,216064.750000,-24141.851562,131123.921875,-139133.265625,0.557129,0.717529,0.450928,0.000000,0.000000,0.000000,53.333336,3.000000,1.000000
-8271.128906,82025.007812,-1515.537720,9486.438477,69956.312500,-24474.714844,83171.023438,-104541.078125,0.557129,0.718506,0.450684,0.000000,0.000000,0.000000,53.333336,4.000000,1.000000
-20460.251953,50976.640625,-1978.665894,8395.494141,30923.460938,-19305.023438,34591.203125,-32840.703125,0.556152,0.717285,0.450928,0.671387,-0.457764,0.579834,53.333336,5.000000,1.000000
-3561.884766,-23793.343750,2573.937500,5957.276855,8408.369141,-1530.647583,8160.890625,-5471.886230,0.556885,0.718262,0.450195,4.364013,-2.258301,5.523681,53.333336,6.000000,1.000000
2453.238281,-52042.105469,3002.018311,5948.335938,2713.144287,6122.858398,1308.024170,6994.397461,0.557861,0.717285,0.451416,2.075195,-0.549316,2.380371,53.333336,7.000000,1.000000
2689.719727,-7315.815918,3088.206543,5092.532227,5858.928711,3904.313477,1831.680786,4022.777832,0.559082,0.717285,0.453369,1.159668,0.030518,1.495361,53.333336,8.000000,1.000000
2775.907959,3024.280518,2778.858398,3362.149658,4229.933594,2753.109131,2081.752197,2813.727051,0.558594,0.719238,0.450928,0.915527,0.244141,1.281738,53.333336,9.000000,1.000000
3017.217529,3207.654297,2817.482178,3378.958008,3116.727295,3308.237061,2216.488525,3193.706787,0.555664,0.719727,0.447998,0.793457,0.335693,1.159668,53.333336,10.000000,1.000000
3107.786621,3239.930176,2751.410400,3392.905518,3203.899170,3414.720947,2082.914551,3331.035889,0.555908,0.719482,0.448242,0.671387,0.366211,1.098633,53.333336,11.000000,1.000000
3140.688477,3111.184082,2530.128174,3372.878418,3238.320801,3445.655762,1877.010132,3458.798584,0.555908,0.719482,0.447998,0.671387,0.518799,1.068115,53.333336,12.000000,1.000000
3246.904053,3023.475830,2588.868652,3509.492188,3490.091064,3533.900391,2068.341064,3829.390381,0.556396,0.718994,0.446533,0.701904,0.488281,1.129150,53.333336,13.000000,1.000000
3464.252441,3490.269775,2900.898926,3799.796631,3654.242188,3716.469482,2529.591797,3728.896973,0.555908,0.720215,0.448730,0.671387,0.488281,1.068115,53.333336,14.000000,1.000000
3493.130859,3529.251221,3270.149658,3614.545410,3560.543701,3548.384277,3100.276611,3616.601807,0.556396,0.720215,0.448975,0.701904,0.427246,1.098633,53.333336,15.000000,1.000000
3511.280518,3529.251221,3525.227783,3538.460205,3540.158936,3513.604980,3431.171631,3547.758545,0.557129,0.720215,0.451660,0.793457,0.396728,1.129150,53.333336,16.000000,1.000000
3551.066406,3566.533936,3579.855469,3572.613525,3562.778809,3561.169434,3538.907227,3568.679688,0.556396,0.720459,0.451416,0.732422,0.396728,1.068115,53.333336,17.000000,1.000000
3573.507568,3584.057617,3597.558105,3608.286865,3572.703125,3576.189941,3569.037354,3583.521240,0.556152,0.718506,0.449951,0.701904,0.488281,1.159668,53.333336,18.000000,1.000000
3579.319092,3589.779785,3607.124756,3617.942871,3577.441650,3581.017822,3587.097412,3592.908936,0.555908,0.718750,0.448975,0.701904,0.518799,1.159668,53.333336,19.000000,1.000000
3583.342529,3591.031494,3610.075195,3620.893311,3578.961426,3582.984863,3598.541504,3598.094482,0.556641,0.717529,0.449219,0.610352,0.518799,1.129150,53.333336,20.000000,1.000000
3585.577637,3592.908936,3611.863281,3620.356934,3579.945068,3584.147217,3603.816650,3601.313232,0.555176,0.718506,0.448486,0.732422,0.549316,1.159668,53.333336,21.000000,1.000000
3589.511475,3594.965332,3613.651367,3618.568848,3582.358887,3587.365723,3606.051758,3603.727295,0.557129,0.718994,0.451904,0.671387,0.488281,1.007080,53.333336,22.000000,1.000000
3593.981934,3596.485352,3614.634766,3617.138184,3585.041260,3590.226807,3606.498779,3606.677734,0.557617,0.718506,0.451172,0.762939,0.579834,1.068115,53.333336,23.000000,1.000000
3597.200439,3599.435791,3615.439453,3617.406494,3587.991699,3593.177246,3606.767090,3609.002197,0.559082,0.718994,0.449219,0.762939,0.579834,1.129150,53.333336,24.000000,1.000000
3600.687500,3601.938965,3617.495850,3617.764160,3590.942139,3596.664062,3607.661133,3610.611572,0.559814,0.718750,0.450684,0.610352,0.518799,1.190185,53.333336,25.000000,1.000000
3603.906006,3604.353027,3619.283936,3619.015869,3592.819580,3600.329834,3608.465820,3612.578613,0.558350,0.720947,0.451416,0.732422,0.549316,1.159668,53.333336,26.000000,1.000000
3606.856445,3607.303467,3619.552246,3620.088623,3595.770020,3602.922607,3609.270508,3614.277344,0.557617,0.720459,0.450195,0.732422,0.488281,1.251221,53.333336,27.000000,1.000000
3608.734131,3609.896240,3620.803955,3620.714600,3598.988770,3605.515381,3610.164551,3616.423096,0.558105,0.720459,0.447266,0.671387,0.457764,1.190185,53.333336,28.000000,1.000000
3610.969238,3611.952637,3622.502686,3621.966309,3600.776855,3608.555176,3610.969238,3617.585205,0.558105,0.720947,0.447754,0.671387,0.457764,1.251221,53.333336,29.000000,1.000000
3612.936035,3613.114990,3624.022705,3622.860352,3603.101318,3610.790283,3612.310303,3619.552246,0.558350,0.720703,0.448975,0.671387,0.457764,1.190185,53.333336,30.000000,1.000000
3614.992432,3615.439453,3625.274414,3624.380127,3605.157715,3612.846680,3614.187744,3621.161621,0.557129,0.720215,0.448242,0.793457,0.396728,1.098633,53.333336,31.000000,1.000000
3616.333496,3617.495850,3626.615479,3625.453125,3607.392822,3615.082031,3616.601807,3622.145020,0.558105,0.720947,0.450195,0.732422,0.457764,1.098633,53.333336,32.000000,1.000000
3617.674805,3619.730957,3627.598877,3626.615479,3609.538574,3616.959473,3617.853516,3624.022705,0.556396,0.718506,0.450439,0.793457,0.427246,1.007080,53.333336,33.000000,1.000000
3619.105225,3620.625244,3629.118896,3627.598877,3611.058594,3618.658203,3619.015869,3626.168457,0.556396,0.719482,0.449951,0.732422,0.488281,1.068115,53.333336,34.000000,1.000000
3620.803955,3622.323975,3630.012939,3628.403564,3612.131592,3619.909912,3620.267578,3627.151855,0.557129,0.719727,0.448730,0.671387,0.488281,1.098633,53.333336,35.000000,1.000000
3622.145020,3623.575684,3630.996338,3629.297607,3613.651367,3621.250977,3621.250977,3628.224854,0.555908,0.720459,0.447754,0.640869,0.457764,1.190185,53.333336,36.000000,1.000000
3623.396729,3624.290771,3632.069336,3630.549316,3615.350098,3622.145020,3622.502686,3629.476318,0.555176,0.718994,0.449951,0.671387,0.396728,1.159668,53.333336,37.000000,1.000000
3624.022705,3625.810791,3633.499756,3631.443359,3616.601807,3623.933105,3623.575684,3630.549316,0.556152,0.718262,0.449707,0.701904,0.366211,1.159668,53.333336,38.000000,1.000000
3625.274414,3627.151855,3633.768066,3632.516357,3617.942871,3624.737793,3624.827393,3631.443359,0.556641,0.719482,0.449951,0.823975,0.427246,1.068115,53.333336,39.000000,1.000000
3626.883545,3628.224854,3634.483154,3633.589111,3619.105225,3625.631836,3625.810791,3632.516357,0.556641,0.719238,0.447998,0.823975,0.335693,1.068115,53.333336,40.000000,1.000000
3627.777588,3628.939941,3636.003174,3634.304443,3620.267578,3626.615479,3626.883545,3633.410400,0.556885,0.718262,0.448486,0.762939,0.335693,1.129150,53.333336,41.000000,1.000000
3628.492920,3629.565918,3636.450195,3634.483154,3621.340332,3627.867188,3628.135254,3634.483154,0.554199,0.718262,0.447021,0.762939,0.366211,1.068115,53.333336,42.000000,1.000000
3629.565918,3630.728027,3637.165527,3636.092529,3622.592041,3628.939941,3629.386963,3635.109131,0.555664,0.718994,0.446289,0.732422,0.427246,1.068115,53.333336,43.000000,1.000000
3630.191650,3631.532715,3637.791260,3636.450195,3623.307373,3629.118896,3630.191650,3636.271484,0.555420,0.720703,0.446045,0.732422,0.488281,1.190185,53.333336,44.000000,1.000000
3631.354004,3632.426758,3638.595947,3636.718506,3623.486084,3630.012939,3630.996338,3636.628906,0.554688,0.719238,0.447021,0.701904,0.549316,1.129150,53.333336,45.000000,1.000000
3632.158691,3633.142090,3638.953613,3637.880615,3624.827393,3630.638672,3631.532715,3637.344238,0.554932,0.718750,0.447754,0.732422,0.457764,1.159668,53.333336,46.000000,1.000000
3632.874023,3634.125488,3639.937012,3638.685303,3625.721436,3631.979736,3632.605713,3638.327637,0.555664,0.718506,0.449219,0.793457,0.549316,1.037598,53.333336,47.000000,1.000000
