EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
-15515.151367,-48511.511719,-22492.650391,45248.695312,39162.136719,22054.466797,-42174.167969,-61338.285156,0.541260,0.722412,0.455078,0.000000,0.000000,0.000000,60.000000,1.000000,1.000000
0.000000,234.514511,0.000000,228.971283,-62.942516,40.858990,-8528.442383,0.000000,0.547119,0.717285,0.448486,0.000000,0.000000,0.000000,60.000000,2.000000,1.000000
0.000000,766.754272,-1.519919,807.881470,-809.848450,-244.528091,-391.602570,0.000000,0.551270,0.710205,0.445312,0.000000,0.000000,0.000000,60.000000,3.000000,1.000000
-60.707340,606.000549,-46.670444,1017.898499,-1573.026489,-988.125977,-3171.444580,0.357628,0.551270,0.711670,0.450684,0.000000,0.000000,0.000000,60.000000,4.000000,1.000000
-794.738647,869.482910,-25.123362,1264.035889,-2373.844727,-968.814087,-3732.473389,149.130844,0.552246,0.713623,0.449463,0.305176,-0.213623,-0.091553,60.000000,5.000000,1.000000
-1071.453247,-11790.277344,-401.616150,1806.736328,-1917.422119,-63.210735,-2567.947266,119.179504,0.554199,0.715820,0.448486,5.615234,-3.295898,-0.549316,60.000000,6.000000,1.000000
-331.610504,-28688.822266,-448.823059,5111.576172,-1320.630493,1844.644897,-1571.238281,-435.769623,0.551025,0.716553,0.450928,2.471924,-0.762939,0.335693,60.000000,7.000000,1.000000
-297.635834,-6091.744629,-369.787292,5788.476074,-150.382538,-507.295227,-1627.564697,-814.408203,0.556641,0.720215,0.449219,1.251221,0.000000,0.701904,60.000000,8.000000,1.000000
-533.938477,-508.457520,-758.618225,-109.791771,-587.761475,-834.524780,-1081.466797,-765.144958,0.558350,0.721191,0.452148,0.885010,0.274658,1.007080,60.000000,9.000000,1.000000
-424.861969,-427.186554,-678.509583,-453.382812,-637.561218,-624.507751,-789.553040,-586.330994,0.553711,0.716064,0.451660,0.823975,0.457764,1.037598,60.000000,10.000000,1.000000
-394.105988,-401.794983,-708.907959,-534.564331,-585.258118,-622.630249,-680.923584,-578.910217,0.555176,0.714355,0.450684,0.854492,0.335693,1.098633,60.000000,11.000000,1.000000
-429.064117,-516.057129,-749.051697,-689.506653,-639.975159,-746.995361,-664.562073,-677.347290,0.556152,0.718994,0.451172,0.701904,0.488281,1.098633,60.000000,12.000000,1.000000
-387.221649,-520.706238,-523.924927,-577.122070,-516.414734,-677.347290,-543.505066,-585.258118,0.552246,0.717285,0.448975,0.762939,0.427246,1.007080,60.000000,13.000000,1.000000
-282.794281,-242.203522,-539.302917,-394.374207,-381.499603,-459.641296,-370.323730,-501.483765,0.552734,0.716553,0.446289,0.793457,0.488281,1.037598,60.000000,14.000000,1.000000
-191.777969,-248.283188,-297.009979,-415.206024,-263.392975,-325.530823,-220.030579,-267.952728,0.549561,0.717529,0.446533,0.793457,0.457764,1.098633,60.000000,15.000000,1.000000
-168.442749,-223.159821,-197.052994,-263.124756,-190.168655,-202.238586,-200.718674,-193.476715,0.552002,0.716797,0.448242,0.701904,0.610352,1.098633,60.000000,16.000000,1.000000
-146.180420,-198.751724,-187.486435,-208.854706,-186.771179,-185.340668,-178.009308,-184.983047,0.553467,0.720215,0.446777,0.762939,0.549316,1.220703,60.000000,17.000000,1.000000
-125.348587,-188.201691,-181.138550,-194.370773,-181.227951,-179.261002,-168.800385,-178.724564,0.553223,0.718994,0.447754,0.732422,0.610352,1.129150,60.000000,18.000000,1.000000
-120.431206,-182.032608,-175.505905,-187.575851,-176.042343,-173.985992,-162.631302,-173.360138,0.555908,0.718750,0.449463,0.701904,0.457764,1.098633,60.000000,19.000000,1.000000
