EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
-98590.687500,440888.531250,-27267.072266,45081.593750,416970.843750,-23323.777344,313673.500000,-400781.000000,0.048828,0.978516,0.208740,0.000000,0.000000,0.000000,40.000000,1.000000,1.000000
-185402.187500,231746.296875,1389.295044,20344.916016,319579.625000,-23393.695312,167823.250000,-28448.496094,0.053223,0.983643,0.206543,0.000000,0.000000,0.000000,40.000000,2.000000,1.000000
-37189.460938,111020.585938,-435.143768,12960.167969,165418.828125,-25273.119141,120449.445312,-154639.031250,0.056396,0.985352,0.204102,0.000000,0.000000,0.000000,40.000000,3.000000,1.000000
-11435.689453,73094.234375,-1182.228516,10986.240234,54276.566406,-24140.869141,72462.835938,-65925.039062,0.056641,0.988037,0.204102,0.000000,0.000000,0.000000,40.000000,4.000000,1.000000
-17064.037109,37038.628906,-608.772156,9178.520508,25771.830078,-16066.881836,28758.113281,-13358.386719,0.054932,0.987305,0.202637,1.464844,-1.098633,0.061035,40.000000,5.000000,1.000000
-255.793381,-36639.339844,3936.410645,6525.100586,5134.732422,1706.064087,5459.547852,1425.326050,0.054443,0.986572,0.202393,4.974365,-3.021240,1.647949,40.000000,6.000000,1.000000
2719.402832,-41758.605469,4375.041504,7946.313965,2565.622803,6056.518555,1919.657349,6431.044434,0.053467,0.987061,0.203613,2.349853,-0.762939,1.251221,40.000000,7.000000,1.000000
2676.219238,-2493.292480,4063.547363,8150.250977,4978.449219,3470.600342,1879.066528,3433.496338,0.051270,0.986572,0.200684,1.342773,-0.061035,1.190185,40.000000,8.000000,1.000000
2717.167480,2954.096191,2941.400391,3732.652100,3466.576904,2683.818848,2235.889893,2728.075195,0.052490,0.986084,0.202148,0.885010,0.427246,1.159668,40.000000,9.000000,1.000000
2882.391602,3121.734131,3048.867432,3369.391602,2876.043701,3065.139648,2485.424805,2990.752930,0.053711,0.986572,0.201416,0.793457,0.488281,1.220703,40.000000,10.000000,1.000000
2915.204102,3133.982910,3054.500244,3307.521973,2846.628906,3093.302734,2494.275879,2990.037598,0.052246,0.984863,0.201172,0.701904,0.518799,1.129150,40.000000,11.000000,1.000000
2849.579346,3007.025146,2981.722900,3154.099609,2700.001465,2946.496582,2509.475098,2865.493896,0.052979,0.986572,0.198486,0.701904,0.457764,1.129150,40.000000,12.000000,1.000000
2852.261475,2939.254639,3150.612549,3248.155762,2631.426270,3018.469238,2710.283203,3064.960693,0.053467,0.986572,0.202881,0.640869,0.518799,1.190185,40.000000,13.000000,1.000000
3093.571045,3417.224365,3228.754395,3627.867188,2960.801514,3306.717285,2949.804443,3271.759033,0.051270,0.985596,0.200684,0.671387,0.518799,1.190185,40.000000,14.000000,1.000000
3298.134277,3508.240479,3452.987061,3547.311523,3296.703613,3410.786865,3293.127441,3492.147217,0.051758,0.986084,0.200439,0.671387,0.457764,1.251221,40.000000,15.000000,1.000000
3497.243408,3531.843994,3567.875000,3549.099609,3526.926514,3522.545654,3457.457520,3555.983887,0.053223,0.983887,0.199951,0.579834,0.457764,1.220703,40.000000,16.000000,1.000000
3549.993652,3568.232666,3578.782715,3576.905029,3566.355225,3567.249268,3542.572754,3567.606689,0.053711,0.982666,0.202148,0.610352,0.427246,1.190185,40.000000,17.000000,1.000000
3574.133545,3584.683594,3596.217041,3611.058594,3573.060547,3576.636963,3569.126709,3583.342529,0.052002,0.985107,0.200928,0.549316,0.457764,1.190185,40.000000,18.000000,1.000000
3580.660156,3590.942139,3606.141113,3619.552246,3578.782715,3580.749512,3587.544678,3593.624268,0.053711,0.985107,0.202393,0.671387,0.457764,1.129150,40.000000,19.000000,1.000000
3583.610596,3592.283203,3611.058594,3621.697998,3579.766113,3582.001221,3598.541504,3599.078125,0.054443,0.986084,0.202637,0.732422,0.518799,1.159668,40.000000,20.000000,1.000000
3585.488281,3593.534912,3612.220947,3621.250977,3581.643799,3583.968262,3604.353027,3603.011963,0.056152,0.985107,0.200684,0.671387,0.579834,1.159668,40.000000,21.000000,1.000000
3588.885742,3594.786621,3613.204346,3619.015869,3583.521240,3587.276367,3606.945801,3604.800049,0.055908,0.985107,0.198975,0.701904,0.518799,1.220703,40.000000,22.000000,1.000000
3592.908936,3597.021729,3614.545410,3617.853516,3585.041260,3589.511475,3606.230713,3606.320068,0.055664,0.986572,0.200439,0.701904,0.518799,1.129150,40.000000,23.000000,1.000000
3596.217041,3599.525146,3615.171387,3617.764160,3588.170410,3592.908936,3606.767090,3608.734131,0.053467,0.986816,0.201904,0.701904,0.518799,1.159668,40.000000,24.000000,1.000000
3600.687500,3601.849609,3617.317139,3618.389893,3590.673828,3596.753418,3607.392822,3610.969238,0.052734,0.987793,0.200439,0.640869,0.518799,1.220703,40.000000,25.000000,1.000000
3603.906006,3604.084961,3618.658203,3619.015869,3593.802979,3600.419189,3608.286865,3613.383301,0.051025,0.987061,0.200684,0.610352,0.518799,1.251221,40.000000,26.000000,1.000000
3606.498779,3606.141113,3620.267578,3619.909912,3595.948730,3603.369629,3609.002197,3615.082031,0.052002,0.985352,0.199951,0.640869,0.518799,1.190185,40.000000,27.000000,1.000000
3608.555176,3608.823486,3621.519287,3620.625244,3598.899170,3605.694092,3610.075195,3616.154785,0.051758,0.987305,0.198486,0.640869,0.549316,1.159668,40.000000,28.000000,1.000000
3611.416260,3611.594971,3623.039062,3622.592041,3600.955566,3607.661133,3611.505615,3618.211182,0.052734,0.986816,0.204346,0.671387,0.427246,1.129150,40.000000,29.000000,1.000000
3613.204346,3613.562012,3624.201416,3623.307373,3602.922607,3610.343262,3613.025635,3620.356934,0.052734,0.986572,0.201660,0.701904,0.427246,1.037598,40.000000,30.000000,1.000000
3614.724365,3615.171387,3625.095459,3624.469727,3605.247070,3612.757324,3614.545410,3621.697998,0.051514,0.985840,0.203125,0.640869,0.457764,1.068115,40.000000,31.000000,1.000000
3616.780762,3616.959473,3627.151855,3625.274414,3607.214111,3614.545410,3615.439453,3622.860352,0.051514,0.987061,0.202637,0.701904,0.549316,1.159668,40.000000,32.000000,1.000000
3617.942871,3618.836914,3628.492920,3626.615479,3609.181152,3616.691162,3616.870117,3624.380127,0.053223,0.984375,0.201904,0.640869,0.610352,1.159668,40.000000,33.000000,1.000000
3619.283936,3620.625244,3629.655273,3627.509521,3610.790283,3618.211182,3618.836914,3625.721436,0.052979,0.985352,0.201416,0.640869,0.579834,1.159668,40.000000,34.000000,1.000000
3620.356934,3621.519287,3630.638672,3628.582275,3612.578613,3619.909912,3619.999268,3626.347168,0.053711,0.984131,0.201660,0.518799,0.457764,1.037598,40.000000,35.000000,1.000000
3621.608643,3623.396729,3631.175049,3629.744629,3613.651367,3620.893311,3621.072266,3627.330566,0.052979,0.985596,0.201172,0.610352,0.488281,1.098633,40.000000,36.000000,1.000000
3623.575684,3624.827393,3632.069336,3630.728027,3615.260742,3622.323975,3622.055664,3628.850586,0.052490,0.984375,0.201172,0.610352,0.488281,1.129150,40.000000,37.000000,1.000000
3624.290771,3625.989502,3633.231445,3631.801025,3616.870117,3623.486084,3623.933105,3630.459961,0.053955,0.984619,0.202148,0.671387,0.518799,1.220703,40.000000,38.000000,1.000000
3625.274414,3626.883545,3633.589111,3632.248047,3618.568848,3624.648438,3625.363770,3630.906982,0.053711,0.983887,0.204590,0.823975,0.518799,1.129150,40.000000,39.000000,1.000000
3626.168457,3628.045898,3634.483154,3633.142090,3619.283936,3625.721436,3625.989502,3631.622314,0.052246,0.986084,0.201904,0.762939,0.427246,1.129150,40.000000,40.000000,1.000000
3627.420166,3629.118896,3635.645508,3634.393799,3620.267578,3626.436523,3627.330566,3633.142090,0.052734,0.984619,0.201660,0.793457,0.488281,1.068115,40.000000,41.000000,1.000000
3628.403564,3629.565918,3636.271484,3635.198486,3621.250977,3627.062500,3627.598877,3634.215088,0.052002,0.985596,0.202637,0.762939,0.518799,1.098633,40.000000,42.000000,1.000000
3629.744629,3630.817627,3637.433594,3635.645508,3622.413330,3628.045898,3628.939941,3635.377197,0.051514,0.986816,0.202637,0.762939,0.549316,1.068115,40.000000,43.000000,1.000000
3630.370605,3632.069336,3637.880615,3636.450195,3623.039062,3629.208252,3630.191650,3635.913818,0.052734,0.985840,0.200439,0.732422,0.518799,1.129150,40.000000,44.000000,1.000000
3630.996338,3632.874023,3638.506592,3636.986572,3623.754395,3630.549316,3631.175049,3636.807861,0.054199,0.984619,0.200195,0.671387,0.396728,1.068115,40.000000,45.000000,1.000000
3631.443359,3633.321045,3639.221680,3637.612549,3624.916748,3630.996338,3632.069336,3637.344238,0.053467,0.984375,0.198486,0.671387,0.457764,1.129150,40.000000,46.000000,1.000000
3632.248047,3634.036133,3639.489990,3638.238281,3625.810791,3631.801025,3632.695068,3637.791260,0.052734,0.985840,0.200928,0.640869,0.610352,1.220703,40.000000,47.000000,1.000000
3633.321045,3634.662109,3640.026367,3639.042969,3626.257812,3632.426758,3633.410400,3638.774658,0.054688,0.987305,0.200439,0.610352,0.549316,1.129150,40.000000,48.000000,1.000000
3633.768066,3635.287842,3640.920410,3639.668945,3627.151855,3633.052734,3633.857422,3639.221680,0.053711,0.984863,0.203369,0.671387,0.457764,1.098633,40.000000,49.000000,1.000000
3634.393799,3636.092529,3641.457031,3639.847656,3627.956543,3633.231445,3634.840820,3639.400635,0.054688,0.986816,0.202148,0.671387,0.518799,1.037598,40.000000,50.000000,1.000000
3635.466797,3636.718506,3641.635742,3640.384033,3628.045898,3634.036133,3635.019775,3640.473389,0.055176,0.986572,0.204102,0.640869,0.427246,1.159668,40.000000,51.000000,1.000000
3636.003174,3637.165527,3641.904053,3640.831055,3628.761230,3634.662109,3635.824219,3641.546387,0.053223,0.987061,0.203613,0.671387,0.457764,1.159668,40.000000,52.000000,1.000000
3636.181885,3637.612549,3642.440430,3641.457031,3629.833984,3634.751465,3636.450195,3641.457031,0.053955,0.985840,0.201172,0.671387,0.457764,1.190185,40.000000,53.000000,1.000000
3636.807861,3638.148926,3643.334473,3641.904053,3630.012939,3635.198486,3636.986572,3641.457031,0.054199,0.988037,0.201416,0.640869,0.488281,1.159668,40.000000,54.000000,1.000000
3637.433594,3638.953613,3643.960449,3642.261719,3630.281006,3636.003174,3637.522949,3642.351074,0.053711,0.986572,0.203369,0.671387,0.457764,1.098633,40.000000,55.000000,1.000000
3637.791260,3638.774658,3644.228516,3642.708740,3631.354004,3636.718506,3637.791260,3642.798096,0.053223,0.986572,0.200684,0.793457,0.457764,1.068115,40.000000,56.000000,1.000000
3637.880615,3639.489990,3644.765137,3642.976807,3631.622314,3636.986572,3638.506592,3642.708740,0.053955,0.986328,0.202148,0.793457,0.427246,1.098633,40.000000,57.000000,1.000000
3638.595947,3639.668945,3645.390869,3643.513428,3632.605713,3637.522949,3639.400635,3643.423828,0.054932,0.984375,0.202637,0.762939,0.427246,1.159668,40.000000,58.000000,1.000000
3639.489990,3640.294678,3645.480225,3643.692139,3632.963379,3638.238281,3639.668945,3643.602783,0.052979,0.986328,0.201416,0.793457,0.427246,1.129150,40.000000,59.000000,1.000000
2394.944824,2395.034180,2400.219727,2399.146973,2387.881592,2393.246094,2394.408447,2398.878662,0.054688,0.985840,0.202881,0.793457,0.518799,1.159668,40.000000,60.000000,1.000000
-2593.249512,-2593.875244,-2588.868652,-2589.762695,-2602.100830,-2595.752930,-2595.573975,-2589.941406,0.053223,0.985596,0.201660,0.701904,0.549316,1.098633,40.000000,61.000000,1.000000
-3842.354492,-3842.801514,-3838.152344,-3839.046387,-3851.742188,-3845.036621,-3845.394287,-3839.314697,0.052246,0.987793,0.203369,0.701904,0.549316,1.129150,40.000000,62.000000,1.000000
-3842.265137,-3842.622803,-3838.331055,-3838.599365,-3851.831543,-3845.304932,-3844.857910,-3839.493408,0.050537,0.986084,0.201416,0.640869,0.610352,1.159668,40.000000,63.000000,1.000000
-3841.728516,-3842.443848,-3837.973633,-3837.973633,-3851.295166,-3844.500244,-3844.321533,-3838.957031,0.051270,0.985352,0.201660,0.701904,0.549316,1.220703,40.000000,64.000000,1.000000
-3841.460449,-3841.549805,-3837.437012,-3837.884033,-3850.758789,-3843.606201,-3843.606201,-3838.688721,0.053467,0.984619,0.201172,0.640869,0.518799,1.220703,40.000000,65.000000,1.000000
-3841.460449,-3841.281494,-3837.258301,-3837.973633,-3850.848145,-3843.695557,-3843.963867,-3838.688721,0.053467,0.985596,0.200928,0.671387,0.457764,1.220703,40.000000,66.000000,1.000000
-3841.013428,-3841.013428,-3836.364258,-3837.884033,-3850.401123,-3843.516846,-3843.337891,-3838.420654,0.053955,0.984619,0.201904,0.823975,0.396728,1.190185,40.000000,67.000000,1.000000
-3840.655762,-3841.281494,-3836.632324,-3837.615967,-3850.222168,-3843.427246,-3843.516846,-3838.152344,0.053711,0.986084,0.203369,0.732422,0.518799,1.220703,40.000000,68.000000,1.000000
-3840.476807,-3841.281494,-3836.811279,-3837.347656,-3849.775146,-3843.248535,-3843.427246,-3838.331055,0.052002,0.985107,0.204346,0.762939,0.549316,1.129150,40.000000,69.000000,1.000000
-3840.298096,-3841.013428,-3836.274902,-3837.347656,-3849.596436,-3843.248535,-3843.427246,-3838.152344,0.052246,0.985840,0.203613,0.762939,0.610352,1.068115,40.000000,70.000000,1.000000
-3840.119385,-3841.013428,-3836.185303,-3837.258301,-3849.507080,-3842.980225,-3842.801514,-3837.526367,0.053467,0.986084,0.202148,0.671387,0.457764,1.129150,40.000000,71.000000,1.000000
-3839.672363,-3840.208740,-3835.917236,-3837.347656,-3848.970459,-3842.443848,-3842.354492,-3837.615967,0.053467,0.986084,0.200684,0.671387,0.488281,1.129150,40.000000,72.000000,1.000000
-3839.672363,-3839.761719,-3835.827637,-3836.900635,-3848.881104,-3841.996826,-3842.712158,-3837.526367,0.053223,0.987793,0.201416,0.640869,0.488281,1.159668,40.000000,73.000000,1.000000
-3839.940430,-3839.761719,-3835.738281,-3836.453613,-3848.881104,-3841.996826,-3841.996826,-3837.258301,0.052734,0.986572,0.202881,0.732422,0.518799,1.159668,40.000000,74.000000,1.000000
-3839.404053,-3839.761719,-3835.738281,-3836.185303,-3848.434082,-3841.996826,-3841.907471,-3837.079346,0.050537,0.984863,0.202637,0.671387,0.488281,1.098633,40.000000,75.000000,1.000000
-3839.046387,-3839.761719,-3835.648926,-3836.185303,-3848.344727,-3841.728516,-3842.086182,-3836.721924,0.051514,0.985107,0.202148,0.701904,0.427246,1.159668,40.000000,76.000000,1.000000
-3838.867676,-3839.672363,-3835.738281,-3836.274902,-3848.076416,-3841.996826,-3842.175537,-3836.721924,0.053223,0.985596,0.201660,0.610352,0.488281,1.098633,40.000000,77.000000,1.000000
-3838.867676,-3839.940430,-3835.291260,-3836.542969,-3847.808350,-3841.549805,-3841.549805,-3836.542969,0.052490,0.986816,0.203613,0.610352,0.488281,1.159668,40.000000,78.000000,1.000000
-3838.420654,-3839.582764,-3834.844238,-3836.095947,-3847.540039,-3841.102783,-3841.549805,-3836.364258,0.052979,0.985840,0.204102,0.732422,0.427246,1.129150,40.000000,79.000000,1.000000
-3838.241699,-3839.046387,-3834.576172,-3835.470215,-3847.987061,-3841.102783,-3841.371094,-3836.364258,0.051270,0.986084,0.202881,0.701904,0.549316,1.190185,40.000000,80.000000,1.000000
-3838.241699,-3838.778076,-3835.023193,-3835.648926,-3847.540039,-3841.281494,-3841.549805,-3835.738281,0.052246,0.986816,0.200195,0.671387,0.457764,1.098633,40.000000,81.000000,1.000000
-3837.705322,-3839.225098,-3834.754883,-3835.738281,-3847.093018,-3841.013428,-3841.013428,-3835.738281,0.052734,0.987549,0.204346,0.640869,0.518799,1.129150,40.000000,82.000000,1.000000
-3837.884033,-3839.225098,-3834.486572,-3835.738281,-3847.540039,-3840.745117,-3840.655762,-3836.006592,0.052734,0.984863,0.204834,0.762939,0.457764,1.098633,40.000000,83.000000,1.000000
-3837.884033,-3838.867676,-3834.218506,-3835.380615,-3847.182373,-3840.566406,-3840.566406,-3835.559570,0.051758,0.985107,0.203369,0.732422,0.549316,1.068115,40.000000,84.000000,1.000000
-3837.526367,-3838.957031,-3834.218506,-3835.470215,-3846.735352,-3840.566406,-3840.566406,-3835.827637,0.052734,0.985352,0.201172,0.701904,0.549316,1.037598,40.000000,85.000000,1.000000
-3837.615967,-3838.778076,-3834.307861,-3835.380615,-3846.824707,-3840.476807,-3840.923828,-3835.738281,0.052246,0.986328,0.200684,0.793457,0.549316,1.098633,40.000000,86.000000,1.000000
-3837.526367,-3838.599365,-3834.128906,-3834.933594,-3847.003662,-3840.566406,-3840.655762,-3835.559570,0.052734,0.985840,0.200928,0.762939,0.549316,1.068115,40.000000,87.000000,1.000000
-3837.526367,-3838.420654,-3834.307861,-3835.023193,-3846.645996,-3840.387451,-3840.387451,-3835.559570,0.052979,0.987549,0.201660,0.732422,0.640869,1.068115,40.000000,88.000000,1.000000
-3837.526367,-3838.331055,-3834.307861,-3835.201904,-3846.735352,-3840.208740,-3840.566406,-3835.738281,0.053467,0.985840,0.202148,0.732422,0.549316,1.129150,40.000000,89.000000,1.000000
-3837.794678,-3837.884033,-3833.950195,-3835.112549,-3846.735352,-3839.851074,-3840.834473,-3835.738281,0.052246,0.984375,0.201660,0.732422,0.518799,1.129150,40.000000,90.000000,1.000000
-3837.973633,-3838.152344,-3833.950195,-3834.933594,-3846.020264,-3839.761719,-3840.655762,-3835.470215,0.052490,0.985596,0.201904,0.793457,0.366211,1.129150,40.000000,91.000000,1.000000
-3837.526367,-3838.152344,-3834.039551,-3834.754883,-3846.109619,-3840.029785,-3840.476807,-3835.201904,0.051514,0.985107,0.202881,0.732422,0.488281,1.037598,40.000000,92.000000,1.000000
-3837.526367,-3838.152344,-3833.950195,-3835.023193,-3846.198975,-3839.851074,-3840.298096,-3835.112549,0.054443,0.985107,0.200928,0.701904,0.518799,1.251221,40.000000,93.000000,1.000000
-3837.437012,-3837.884033,-3834.128906,-3834.754883,-3846.020264,-3839.761719,-3840.387451,-3835.201904,0.053955,0.987305,0.204590,0.701904,0.427246,1.251221,40.000000,94.000000,1.000000
-3837.437012,-3838.062988,-3833.950195,-3834.754883,-3845.930664,-3839.940430,-3840.208740,-3835.470215,0.052979,0.986328,0.204102,0.701904,0.427246,1.190185,40.000000,95.000000,1.000000
-3836.989990,-3837.615967,-3833.950195,-3834.754883,-3846.288330,-3840.119385,-3839.940430,-3835.380615,0.052246,0.984863,0.201904,0.701904,0.396728,1.129150,33.333336,96.000000,1.000000
-3836.811279,-3837.437012,-3833.950195,-3834.844238,-3846.467285,-3840.029785,-3839.851074,-3835.023193,0.053467,0.985107,0.201660,0.640869,0.488281,1.281738,33.333336,97.000000,1.000000
