EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
-7818.998047,-52220.562500,-12239.279297,67042.179688,15416.892578,36232.089844,-64892.214844,-81237.773438,0.525635,0.734375,0.448730,0.000000,0.000000,0.000000,66.666672,1.000000,1.000000
0.000000,358.432587,24.676327,0.000000,0.000000,-9.208920,-7617.206543,0.000000,0.531738,0.736084,0.445557,0.000000,0.000000,0.000000,66.666672,2.000000,1.000000
0.000000,743.061401,81.181541,0.000000,-9.477140,-10.639431,-1433.283325,0.000000,0.537354,0.735352,0.444092,0.000000,0.000000,0.000000,66.666672,3.000000,1.000000
-44.792896,719.368591,183.373718,0.000000,-538.230042,-205.993683,-3737.569580,0.000000,0.536133,0.737549,0.447754,0.000000,0.000000,0.000000,66.666672,4.000000,1.000000
-675.559143,1150.131470,550.299988,0.000000,-1720.279785,-4.827977,-3868.461182,146.001602,0.537354,0.738281,0.445068,0.854492,-0.885010,-0.457764,66.666672,5.000000,1.000000
-943.869507,-10821.552734,360.131317,10.371210,-1538.604736,1137.793213,-2713.412598,189.095764,0.536133,0.738525,0.447998,4.516601,-4.058837,-1.464844,66.666672,6.000000,1.000000
-556.022034,-25988.017578,513.196106,1365.333984,-664.115051,1761.406982,-1445.174438,-220.745834,0.534424,0.737793,0.441895,2.197265,-1.037598,0.152588,66.666672,7.000000,1.000000
-720.888489,-5605.728516,-103.443878,3371.716064,416.457733,-899.076599,-1538.604736,-579.536072,0.531738,0.737549,0.442139,1.281738,-0.122070,0.671387,66.666672,8.000000,1.000000
-595.539917,-564.515686,-785.172119,-58.203945,-648.558228,-743.061401,-1026.928589,-626.295898,0.530029,0.736816,0.441895,0.976562,0.274658,0.915527,66.666672,9.000000,1.000000
-501.573181,-481.188385,-709.712646,-383.645355,-756.919495,-570.237732,-749.409302,-426.471313,0.533936,0.737305,0.441895,0.823975,0.366211,1.007080,66.666672,10.000000,1.000000
-492.721893,-438.720062,-735.551270,-349.491882,-768.989441,-605.732300,-651.240479,-388.830963,0.533691,0.738770,0.440674,0.762939,0.488281,1.159668,66.666672,11.000000,1.000000
