frame,duck_id,x_world,y_world
0,0,2.5790,1.0188
0,1,2.3614,1.5500
0,2,1.9422,1.4937
0,3,1.7618,1.6375
0,4,1.9953,1.5187
1,0,2.5949,1.0188
1,1,2.3667,1.5500
1,2,1.9634,1.4813
1,3,1.7724,1.6312
1,4,1.9900,1.4937
2,0,2.6162,1.0188
2,1,2.3614,1.5500
2,2,1.9688,1.4500
2,3,1.7936,1.6250
3,0,2.6215,1.0188
3,1,2.3667,1.5375
3,2,1.9900,1.4437
3,3,1.8255,1.6062
4,0,2.6533,1.0250
4,1,2.3561,1.5125
4,2,1.8945,1.5563
4,3,2.1120,1.4813
4,4,2.0961,1.4563
5,0,2.3455,1.5125
5,1,2.6480,1.0063
5,2,1.9051,1.5250
5,3,2.1279,1.5000
5,4,2.0855,1.3438
6,0,2.3349,1.5063
6,1,2.6480,0.9938
6,2,1.9316,1.5000
7,0,2.3508,1.4875
7,1,2.6639,0.9687
7,2,1.9422,1.4750
8,0,2.6692,0.9625
8,1,2.3614,1.4813
8,2,1.9475,1.4625
8,3,2.1863,1.2875
9,0,2.6745,0.9625
9,1,2.3667,1.4625
9,2,1.9794,1.4375
10,0,2.6745,0.9500
10,1,2.3614,1.4500
11,0,2.6798,0.9500
11,1,2.3561,1.4437
11,2,2.0218,1.4000
12,0,2.6745,0.9500
12,1,2.3508,1.4375
13,0,2.6851,0.9313
13,1,2.3296,1.4312
14,0,2.6851,0.9313
14,1,2.3190,1.4312
14,2,2.0430,1.3813
15,0,2.6692,0.9375
15,1,2.3084,1.4312
16,0,2.6639,0.9250
16,1,2.2925,1.4250
17,0,2.6427,0.9250
17,1,2.2765,1.4250
17,2,2.0271,1.4563
18,0,2.6268,0.9063
18,1,2.2659,1.4250
18,2,1.9900,1.4563
19,0,2.6108,0.9125
19,1,2.2500,1.4187
19,2,1.9741,1.4688
20,0,2.5790,0.9188
20,1,1.9316,1.4813
20,2,2.2235,1.4375
21,0,2.5525,0.9437
21,1,1.8945,1.4937
21,2,2.2022,1.4375
22,0,2.5206,0.9687
22,1,2.1863,1.4500
22,2,1.8679,1.5125
23,0,2.5206,0.9938
23,1,1.8520,1.5187
23,2,2.1598,1.4625
24,0,2.5206,1.0375
24,1,1.8149,1.5375
24,2,2.1333,1.5000
25,0,1.7883,1.5563
25,1,2.5047,1.0813
25,2,2.1120,1.5187
26,0,1.7512,1.5813
26,1,2.4941,1.1125
26,2,2.0802,1.5625
26,3,1.9316,1.4250
27,0,2.4888,1.1437
27,1,1.8945,1.4437
27,2,2.0537,1.5813
27,3,2.2659,1.1125
27,4,1.7300,1.6062
28,0,1.7087,1.6312
28,1,2.2606,1.1437
28,2,2.4782,1.1875
28,3,1.8679,1.4563
28,4,2.0271,1.6187
29,0,1.8414,1.4688
29,1,1.9900,1.6375
29,2,2.4623,1.2125
29,3,2.2447,1.1687
29,4,1.6822,1.6562
30,0,1.8042,1.4937
30,1,1.9847,1.6562
30,2,1.6716,1.6625
31,0,1.6557,1.6688
31,1,1.9528,1.6938
31,2,2.3986,1.2625
31,3,1.7989,1.5063
32,0,1.6291,1.6938
32,1,1.9157,1.7125
33,0,1.6026,1.7000
33,1,1.8945,1.7250
34,0,1.5761,1.7000
34,1,1.8626,1.7438
