frame,duck_id,x_world,y_world
0,0,1.7565,1.6250
0,1,2.3031,1.1313
0,2,2.5896,1.0063
0,3,2.3508,1.5313
0,4,3.1309,0.2750
1,0,2.3561,1.5375
1,1,2.3137,1.1313
1,2,2.6002,1.0063
1,3,1.7724,1.6125
1,4,1.0985,0.2062
1,5,3.1256,0.2812
1,6,1.9422,1.4688
2,0,2.3508,1.5375
2,1,2.3190,1.1250
2,2,2.6162,1.0063
2,3,1.7936,1.6062
2,4,1.9634,1.4437
3,0,2.3614,1.5250
3,1,2.6321,1.0063
3,2,2.3296,1.1187
3,3,1.8255,1.6000
3,4,1.9847,1.4312
4,0,2.6533,1.0125
4,1,2.3561,1.5063
4,2,2.3561,1.0813
4,3,1.8838,1.5563
4,4,1.0560,0.2250
5,0,2.6533,0.9875
5,1,2.3508,1.5063
5,2,1.9051,1.5313
5,3,0.0796,1.0312
6,0,2.6586,0.9625
6,1,2.1279,1.4937
6,2,2.1120,1.3062
6,3,2.3402,1.4937
7,0,2.1439,1.3000
7,1,2.6586,0.9437
7,2,2.3455,1.4750
7,3,1.9369,1.4750
7,4,2.1439,1.4813
7,5,3.0407,0.3250
8,0,2.1810,1.2875
8,1,2.6692,0.9437
8,2,2.3508,1.4625
8,3,2.1598,1.4688
8,4,1.9634,1.4500
8,5,3.0301,0.3313
9,0,2.2182,1.2562
9,1,2.6745,0.9375
9,2,2.3614,1.4437
9,3,1.9794,1.4375
9,4,2.1757,1.4500
9,5,3.0195,0.3313
9,6,0.0637,0.9812
10,0,2.6745,0.9375
10,1,2.2394,1.2437
10,2,2.3667,1.4312
10,3,1.9953,1.4062
10,4,2.1810,1.4437
10,5,3.0088,0.3375
11,0,2.2553,1.2312
11,1,2.0112,1.3875
11,2,2.3614,1.4250
11,3,2.6745,0.9375
11,4,2.1863,1.4437
11,5,2.9929,0.3438
11,6,2.3774,0.9812
12,0,2.3455,1.4250
12,1,2.6745,0.9313
12,2,2.0165,1.3750
12,3,2.2606,1.2125
12,4,2.3721,0.9750
13,0,2.3721,0.9500
13,1,2.6798,0.9188
13,2,2.3349,1.4187
13,3,2.0537,1.3688
13,4,2.2500,1.1938
14,0,2.6745,0.9250
14,1,2.3614,0.9500
14,2,2.3137,1.4187
15,0,2.6692,0.9250
15,1,2.3508,0.9500
15,2,2.2978,1.4125
15,3,2.8868,0.4000
16,0,2.6533,0.9063
16,1,2.3402,0.9562
16,2,2.2871,1.4187
16,3,2.2978,1.2625
17,0,2.6374,0.8938
17,1,2.3296,0.9562
18,0,2.6162,0.8938
18,1,2.2659,1.4250
19,0,2.6002,0.8938
19,1,2.2447,1.4187
20,0,2.3243,0.9750
20,1,2.5790,0.9063
20,2,2.2235,1.4312
21,0,2.5578,0.9250
21,1,2.1969,1.4437
21,2,2.3137,0.9875
21,3,0.7005,0.2625
22,0,2.5366,0.9500
22,1,2.1757,1.4625
22,2,2.3031,1.0000
23,0,2.5259,0.9812
23,1,2.1492,1.4750
24,0,2.1279,1.4937
24,1,2.5153,1.0188
24,2,1.9794,1.3750
24,3,1.8096,1.5063
24,4,2.2659,1.0188
25,0,1.7830,1.5313
25,1,1.9581,1.4062
25,2,2.1067,1.5250
25,3,2.5206,1.0562
25,4,2.2765,1.0375
26,0,1.9316,1.4187
26,1,1.7565,1.5625
26,2,2.0802,1.5563
26,3,2.2712,1.0687
26,4,2.4994,1.1125
27,0,1.8945,1.4375
27,1,1.7300,1.5813
27,2,2.2606,1.1000
27,3,2.4888,1.1500
27,4,2.0537,1.5813
27,5,2.5419,1.0312
28,0,1.8679,1.4500
28,1,2.0271,1.6125
28,2,1.7034,1.6125
28,3,2.4729,1.1750
28,4,2.2447,1.1250
29,0,2.0006,1.6312
29,1,1.8414,1.4750
29,2,2.4517,1.2125
29,3,1.6875,1.6375
29,4,2.2341,1.1625
29,5,2.0377,1.3125
29,6,2.1704,1.3938
30,0,2.2235,1.1875
30,1,2.0112,1.3500
30,2,1.8202,1.4875
30,3,1.9741,1.6562
30,4,2.4357,1.2312
30,5,1.6822,1.6562
30,6,2.1757,1.4062
30,7,3.6244,2.0688
31,0,1.9475,1.6812
31,1,2.2129,1.2125
31,2,1.9900,1.3688
31,3,1.8096,1.5125
31,4,2.1704,1.4250
31,5,2.4092,1.2562
31,6,1.6610,1.6688
32,0,1.9210,1.7062
32,1,1.9634,1.4000
32,2,1.6397,1.6875
32,3,1.7989,1.5375
32,4,2.3986,1.2750
32,5,2.1651,1.4375
32,6,2.1916,1.2250
33,0,1.6026,1.7000
33,1,1.8838,1.7313
33,2,2.1279,1.4375
33,3,1.7830,1.5500
33,4,1.9316,1.4125
33,5,2.1651,1.2375
34,0,1.5814,1.7000
34,1,1.8626,1.7438
34,2,1.7724,1.5500
35,0,1.8414,1.7563
35,1,1.5601,1.6875
36,0,1.5442,1.6875
36,1,1.8255,1.7625
37,0,1.5389,1.6875
37,1,1.8149,1.7625
37,2,2.0643,1.4750
38,0,1.5283,1.6812
