epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.7729,6.71379,13.9842,4.30182,0,0,0,0,7.01289,13.0173,4.16292,0.0001,0.0001,0.0001
2,38.4201,6.63649,13.47,4.08498,0,0,0,0,7.01351,13.0729,4.17025,0.000215644,0.000215644,0.000215644
3,59.1689,5.65561,7.90576,3.69368,0,0,0,0,7.01476,13.1683,4.18537,0.000326536,0.000326536,0.000326536
4,79.0365,5.00633,6.96019,3.25146,0,0,0,0,7.01751,13.3798,4.21313,0.000432676,0.000432676,0.000432676
5,99.1705,4.13799,4.76741,3.0598,0,0,0,0,7.02166,13.6639,4.25341,0.000534064,0.000534064,0.000534064
6,119.008,3.88422,4.30922,2.97498,0,0,0,0,7.02706,13.959,4.30409,0.0006307,0.0006307,0.0006307
7,138.921,3.67081,3.69418,2.525,0,0,0,0,7.03395,14.1805,4.36997,0.000722584,0.000722584,0.000722584
8,158.974,3.60363,3.57336,2.28206,0,0,0,0,7.04245,14.3431,4.45326,0.000809716,0.000809716,0.000809716
9,179.582,3.18295,3.11364,1.92357,0,0,0,0,7.0476,14.1611,4.49978,0.000892096,0.000892096,0.000892096
10,199.652,2.98643,2.84299,1.96347,0,0,0,0,7.0492,13.8872,4.51417,0.000969724,0.000969724,0.000969724
11,219.664,2.96166,2.79224,1.90879,0,0,0,0,7.04926,13.7834,4.5159,0.0010426,0.0010426,0.0010426
12,239.717,2.94599,2.5696,1.71642,0,0,0,0,7.04403,13.0448,4.47532,0.00111072,0.00111072,0.00111072
13,259.99,2.69579,2.21823,1.73113,0,0,0,0,7.04369,13.2114,4.48894,0.0011741,0.0011741,0.0011741
14,279.776,2.77937,2.30914,1.62212,0,0,0,0,7.04948,15.991,4.5645,0.00123272,0.00123272,0.00123272
15,299.847,2.61013,2.17079,1.61147,0,0,0,0,7.05722,17.1765,4.64875,0.00128658,0.00128658,0.00128658
16,320.362,2.55677,2.10394,1.66621,0,0,0,0,7.05804,15.4937,4.66176,0.0013357,0.0013357,0.0013357
17,341.01,2.42826,1.92442,1.56125,0,0,0,0,7.02181,13.1485,4.41092,0.0013664,0.0013664,0.0013664
18,361.173,2.31892,1.83948,1.5424,0.00132,0.09524,0.02993,0.01068,4.79693,7.1928,2.74443,0.0013268,0.0013268,0.0013268
19,381.039,2.29143,1.77783,1.45613,0.70934,0.03175,0.15881,0.05561,3.18,4.21261,2.08515,0.0012872,0.0012872,0.0012872
20,401.148,2.29236,1.78151,1.55553,0.59963,0.33333,0.35648,0.10762,2.7102,2.54286,1.71352,0.0012476,0.0012476,0.0012476
21,421.207,2.11133,1.68885,1.40099,0.6471,0.38095,0.38825,0.15339,2.53978,2.25793,1.60728,0.001208,0.001208,0.001208
22,441.085,2.09152,1.68411,1.41747,0.6771,0.39683,0.38908,0.16453,2.36072,1.95318,1.52355,0.0011684,0.0011684,0.0011684
23,460.99,2.14901,1.80482,1.47046,0.69358,0.43119,0.39476,0.17107,2.31392,1.85579,1.49529,0.0011288,0.0011288,0.0011288
24,481.217,1.98493,1.54218,1.32395,0.66386,0.47619,0.42715,0.19371,2.23947,1.80286,1.48944,0.0010892,0.0010892,0.0010892
25,501.152,1.99166,1.60369,1.31909,0.73985,0.47619,0.48296,0.19589,2.27839,1.85018,1.51374,0.0010496,0.0010496,0.0010496
26,521.11,1.94501,1.47436,1.24028,0.71789,0.57143,0.68327,0.28091,2.13884,1.63766,1.42441,0.00101,0.00101,0.00101
27,540.86,1.92319,1.44419,1.33189,0.74839,0.66667,0.75916,0.28695,2.14169,1.52886,1.38832,0.0009704,0.0009704,0.0009704
28,560.873,1.99049,1.38159,1.26618,0.80118,0.74603,0.83037,0.29997,2.18507,1.41717,1.36903,0.0009308,0.0009308,0.0009308
29,580.561,1.88483,1.46716,1.21439,0.76539,0.77676,0.83846,0.31686,2.1257,1.35967,1.35353,0.0008912,0.0008912,0.0008912
30,600.434,1.87053,1.40403,1.24226,0.84444,0.8254,0.9028,0.33502,2.04346,1.33427,1.29979,0.0008516,0.0008516,0.0008516
31,620.3,1.85095,1.4678,1.26174,0.7364,0.84254,0.78939,0.30016,2.05181,1.33713,1.28504,0.000812,0.000812,0.000812
32,640.181,1.81678,1.31936,1.21675,0.85231,0.87302,0.87374,0.41618,1.74256,1.31992,1.1714,0.0007724,0.0007724,0.0007724
33,660.072,1.77192,1.32496,1.21688,0.86645,0.87302,0.88183,0.41729,1.81439,1.4047,1.19775,0.0007328,0.0007328,0.0007328
34,680.219,1.82527,1.43397,1.21958,0.83343,0.87361,0.90867,0.40472,1.85059,1.2534,1.19366,0.0006932,0.0006932,0.0006932
35,700.106,1.80182,1.27385,1.21051,0.84335,0.85458,0.89911,0.40952,1.82203,1.24334,1.17852,0.0006536,0.0006536,0.0006536
36,719.788,1.85026,1.30947,1.21664,0.79428,0.91932,0.90701,0.41471,1.735,1.30437,1.16268,0.000614,0.000614,0.000614
37,739.832,1.82652,1.29467,1.19616,0.83008,0.90476,0.91456,0.43351,1.76296,1.26332,1.17657,0.0005744,0.0005744,0.0005744
38,759.806,1.77829,1.32883,1.18107,0.84533,0.92063,0.93549,0.41088,1.8017,1.22603,1.1822,0.0005348,0.0005348,0.0005348
39,779.794,1.73498,1.27031,1.20479,0.89198,0.88889,0.94955,0.4269,1.75709,1.20855,1.16113,0.0004952,0.0004952,0.0004952
40,800.048,1.711,1.22781,1.15362,0.87056,0.85407,0.92939,0.44581,1.75429,1.19748,1.14925,0.0004556,0.0004556,0.0004556
41,820.085,1.75341,1.5224,1.25821,0.89318,0.8254,0.92776,0.43698,1.79125,1.20861,1.16455,0.000416,0.000416,0.000416
42,839.858,1.66734,1.41639,1.21898,0.89251,0.8254,0.91807,0.40083,1.81796,1.22034,1.18414,0.0003764,0.0003764,0.0003764
43,859.843,1.58389,1.33635,1.17382,0.88757,0.79365,0.92105,0.43275,1.75401,1.23369,1.16495,0.0003368,0.0003368,0.0003368
44,879.911,1.68761,1.42963,1.29573,0.84863,0.84127,0.9321,0.45408,1.68517,1.19295,1.14252,0.0002972,0.0002972,0.0002972
45,899.906,1.60075,1.31978,1.19994,0.82799,0.8254,0.91871,0.46116,1.64872,1.17425,1.12922,0.0002576,0.0002576,0.0002576
46,919.768,1.6062,1.31548,1.19909,0.8125,0.84127,0.92048,0.45734,1.65908,1.16493,1.12318,0.000218,0.000218,0.000218
47,939.848,1.63584,1.33171,1.17281,0.82815,0.8414,0.92433,0.45846,1.66404,1.17422,1.12283,0.0001784,0.0001784,0.0001784
48,959.759,1.60026,1.29253,1.12957,0.84045,0.83618,0.92997,0.47278,1.63036,1.16132,1.11124,0.0001388,0.0001388,0.0001388
49,979.646,1.51011,1.28697,1.15267,0.87353,0.84127,0.94065,0.47804,1.61722,1.15125,1.10808,9.92e-05,9.92e-05,9.92e-05
50,999.179,1.5747,1.25719,1.18189,0.88937,0.84127,0.9394,0.48917,1.61282,1.13928,1.10608,5.96e-05,5.96e-05,5.96e-05
