epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.72483,1.87856,3.5762,1.11245,0.00512,0.03175,0.00404,0.00173,1.76409,4.58813,1.09716,0.000651515,0.000651515,0.000651515
2,7.32876,2.25857,3.26236,1.22217,0.00303,0.31746,0.00202,0.00111,1.80854,8.4449,1.20382,0.00131557,0.00131557,0.00131557
3,9.89751,2.50689,2.89776,1.39325,0.02232,0.53968,0.02066,0.00676,2.60526,4.64307,1.78176,0.00197699,0.00197699,0.00197699
4,12.5339,2.48219,6.67321,1.54774,0.38028,0.42857,0.33752,0.10149,1.9982,12.3124,1.48746,0.00198812,0.00198812,0.00198812
5,15.181,2.71279,6.89346,1.63484,0.00016,0.01587,9e-05,4e-05,3.41546,nan,2.45408,0.00198416,0.00198416,0.00198416
6,17.7404,2.79558,4.1209,1.54295,0.00016,0.01587,9e-05,4e-05,nan,nan,nan,0.0019802,0.0019802,0.0019802
7,20.3011,2.38889,2.35003,1.40504,0.00016,0.01587,9e-05,4e-05,nan,nan,nan,0.00197624,0.00197624,0.00197624
8,22.8638,2.64151,2.4964,1.5185,0.00016,0.01587,9e-05,4e-05,nan,nan,nan,0.00197228,0.00197228,0.00197228
9,25.4702,2.252,2.11096,1.2473,0.13934,0.11111,0.03089,0.01496,nan,nan,nan,0.00196832,0.00196832,0.00196832
10,28.0757,2.39235,1.85238,1.34836,0.26648,0.46032,0.2155,0.10182,1.98236,2.67267,1.88589,0.00196436,0.00196436,0.00196436
11,30.6892,2.24846,1.61653,1.30641,0.36156,0.5873,0.35379,0.12665,2.05695,4.91326,1.49028,0.0019604,0.0019604,0.0019604
12,33.3638,2.17389,1.56704,1.27226,0.48266,0.69841,0.48572,0.19668,1.86958,2.1723,1.24041,0.00195644,0.00195644,0.00195644
13,36.0542,1.96415,1.44642,1.17511,0.44544,0.82876,0.49441,0.24988,1.64239,1.61742,1.15683,0.00195248,0.00195248,0.00195248
14,38.7197,1.95439,1.44232,1.24447,0.56285,0.80952,0.62955,0.33888,1.65537,1.87004,1.14826,0.00194852,0.00194852,0.00194852
15,41.3987,1.79873,1.26845,1.13955,0.66897,0.66667,0.65459,0.35888,1.52233,1.19453,1.08587,0.00194456,0.00194456,0.00194456
16,44.0688,1.73486,1.26027,1.09423,0.52475,0.63492,0.64167,0.35905,1.54698,1.26717,1.07807,0.0019406,0.0019406,0.0019406
17,46.69,1.71694,1.29543,1.10965,0.62314,0.76114,0.72833,0.41797,1.42259,1.65612,1.03785,0.00193664,0.00193664,0.00193664
18,49.3713,1.68634,1.29309,1.13732,0.61918,0.65079,0.71275,0.39163,1.54429,1.63418,1.1036,0.00193268,0.00193268,0.00193268
19,51.9809,1.69941,1.20448,1.09839,0.71453,0.7619,0.79618,0.50396,1.38196,1.25626,1.02803,0.00192872,0.00192872,0.00192872
20,54.6713,1.64938,1.1667,1.05839,0.7577,0.74457,0.81353,0.44802,1.44146,1.38039,1.08132,0.00192476,0.00192476,0.00192476
21,57.2818,1.60382,1.21246,1.10943,0.66812,0.65079,0.70062,0.35024,1.57462,1.24559,1.14239,0.0019208,0.0019208,0.0019208
22,59.8966,1.66362,1.11758,1.04286,0.57457,0.5574,0.55899,0.28496,1.57074,1.40234,1.09002,0.00191684,0.00191684,0.00191684
23,62.5218,1.55471,1.1486,1.05785,0.73555,0.87302,0.85685,0.56822,1.24559,1.06198,0.96815,0.00191288,0.00191288,0.00191288
24,65.2055,1.56714,1.05183,1.02237,0.79473,0.79365,0.87641,0.53783,1.40427,1.02589,1.03027,0.00190892,0.00190892,0.00190892
25,67.8268,1.54097,1.06025,1.07223,0.73386,0.85714,0.86075,0.51062,1.39792,0.97035,1.03635,0.00190496,0.00190496,0.00190496
26,70.4403,1.48605,1.0452,1.01351,0.8575,0.80952,0.867,0.54501,1.31913,0.93724,1.00556,0.001901,0.001901,0.001901
27,73.0518,1.43119,1.03784,1.02192,0.71314,0.79365,0.80882,0.48794,1.40613,1.01359,1.01102,0.00189704,0.00189704,0.00189704
28,75.6852,1.50113,1.04211,1.06158,0.79958,0.82327,0.87524,0.58217,1.19681,1.02959,0.95974,0.00189308,0.00189308,0.00189308
29,78.3666,1.49223,1.01587,1.01715,0.7168,0.84371,0.84307,0.54906,1.23643,1.00919,0.9733,0.00188912,0.00188912,0.00188912
30,80.9822,1.45157,1.0305,1.01884,0.69446,0.85714,0.82255,0.48936,1.35174,1.08284,1.00524,0.00188516,0.00188516,0.00188516
31,83.6048,1.42856,0.98047,1.01151,0.68453,0.79365,0.81531,0.5016,1.37526,0.98866,1.01972,0.0018812,0.0018812,0.0018812
32,86.2402,1.50843,1.03332,1.00676,0.8037,0.77989,0.86786,0.53007,1.34851,0.91163,1.00909,0.00187724,0.00187724,0.00187724
33,88.8686,1.45087,0.97465,1.01881,0.80524,0.72198,0.84487,0.49183,1.50755,0.95472,1.04627,0.00187328,0.00187328,0.00187328
34,91.493,1.50822,0.98582,1.03157,0.73821,0.80952,0.83605,0.52006,1.39626,0.95077,1.02654,0.00186932,0.00186932,0.00186932
35,94.1112,1.39718,0.93587,0.9888,0.83121,0.78171,0.88224,0.55903,1.3316,0.93913,1.00037,0.00186536,0.00186536,0.00186536
